iter	RMSE
597	6387.140462
598	6386.040313
599	6385.160175
600	6384.212743
601	6383.402627
602	6378.715414
603	6376.507187
604	6375.540866
605	6374.937925
606	6367.819547
607	6367.074227
608	6362.701089
609	6360.559876
610	6359.879018
611	6359.165353
612	6358.187937
613	6357.41276
614	6351.709348
615	6350.753861
616	6350.001998
617	6348.989798
618	6347.994732
619	6343.353815
620	6333.80594
621	6328.991304
622	6315.834703
623	6310.306135
624	6309.457153
625	6308.421911
626	6301.985149
627	6301.368601
628	6300.355731
629	6296.712994
630	6293.59775
631	6286.765783
632	6286.059972
633	6274.935706
634	6274.362658
635	6269.384126
636	6256.96783
637	6254.31615
638	6253.501451
639	6250.039678
640	6249.506862
641	6238.867461
642	6234.41941
643	6230.039878
644	6218.191853
645	6214.037756
646	6213.458645
647	6205.297809
648	6204.700598
649	6204.114167
650	6201.407369
651	6191.317313
652	6186.228649
653	6185.438846
654	6184.593609
655	6175.081984
656	6174.46733
657	6168.979659
658	6165.429067
659	6154.419713
660	6153.74167
661	6153.250315
662	6145.622164
663	6145.124777
664	6144.413459
665	6143.880719
666	6133.217704
667	6132.614889
668	6132.121551
669	6131.460276
670	6127.805838
671	6117.418806
672	6116.869507
673	6116.284933
674	6112.921649
675	6112.02582
676	6111.129077
677	6110.256589
678	6109.654436
679	6106.628016
680	6104.645505
681	6101.71175
682	6101.201528
683	6100.645132
684	6099.826239
685	6095.281533
686	6091.694167
687	6091.030572
688	6090.435159
689	6088.516808
690	6086.642402
691	6080.856526
692	6080.271888
693	6075.447677
694	6074.960647
695	6074.178238
696	6071.889827
697	6063.028083
698	6062.442828
699	6061.90736
700	6061.357888
701	6060.549139
702	6059.765581
703	6059.027354
704	6051.096758
705	6050.595114
706	6049.989157
707	6046.545469
708	6044.735838
709	6037.28096
710	6036.485026
711	6030.216597
712	6024.761835
713	6024.210146
714	6018.096108
715	6012.359272
716	6008.650635
717	6005.8388
718	6005.245989
719	6002.220871
720	6001.472141
721	6000.947734
722	5998.484101
723	5997.916325
724	5995.170049
725	5993.722533
726	5992.58041
727	5991.912378
728	5986.432188
729	5978.200838
730	5974.829416
731	5974.047197
732	5973.658631
733	5973.158004
734	5972.770712
735	5969.919675
736	5967.48461
737	5966.836078
738	5966.30222
739	5965.676223
740	5965.22061
741	5962.889966
742	5962.272696
743	5961.760771
744	5954.252429
745	5953.075502
746	5947.673223
747	5945.332967
748	5944.947627
749	5941.713497
750	5938.580023
751	5937.994666
752	5931.069041
753	5924.299757
754	5923.677113
755	5923.150244
756	5917.222097
757	5914.212329
758	5906.958031
759	5906.420053
760	5899.891356
761	5893.426479
762	5892.926169
763	5888.809103
764	5881.75916
765	5877.866549
766	5877.282268
767	5874.339276
768	5873.897011
769	5873.450776
770	5865.873215
771	5864.37993
772	5859.416726
773	5858.781191
774	5858.210049
775	5857.940471
776	5857.475406
777	5853.956817
778	5851.643265
779	5851.206122
780	5847.723683
781	5840.361082
782	5839.902323
783	5839.459548
784	5838.974332
785	5832.767453
786	5832.333006
787	5831.886623
788	5831.366717
789	5830.946569
790	5830.507958
791	5826.483812
792	5822.125874
793	5818.005305
794	5813.373337
795	5806.328942
796	5805.911431
797	5800.441123
798	5795.589512
799	5789.505229
800	5785.71789
801	5785.404086
802	5784.974481
803	5784.432167
804	5779.479182
805	5779.110037
806	5778.716281
807	5777.399294
808	5776.941526
809	5773.740048
810	5767.018602
811	5766.717462
812	5760.149205
813	5759.851438
814	5758.967251
815	5757.182753
816	5756.888987
817	5754.131619
818	5753.712241
819	5751.983334
820	5751.681139
821	5751.324531
822	5749.521116
823	5749.001459
824	5748.655062
825	5748.357269
826	5747.946544
827	5742.64813
828	5738.814328
829	5733.418108
830	5730.775479
831	5729.503624
832	5729.186091
833	5728.838267
834	5723.088173
835	5720.338407
836	5720.051686
837	5715.865693
838	5713.392898
839	5712.997899
840	5712.524694
841	5711.137384
842	5710.655015
843	5710.381007
844	5704.19345
845	5703.783353
846	5696.848768
847	5694.311216
848	5693.837308
849	5693.438837
850	5691.345209
851	5688.909615
852	5684.202077
853	5683.949681
854	5682.633439
855	5676.755302
856	5673.756928
857	5667.294569
858	5665.201523
859	5664.860929
860	5661.615821
861	5655.474199
862	5655.043665
863	5650.646763
864	5648.670885
865	5647.614419
866	5645.377752
867	5639.946218
868	5639.673196
869	5639.307942
870	5639.076358
871	5636.246444
872	5634.408354
873	5633.39832
874	5633.029885
875	5632.767596
876	5628.859802
877	5627.969549
878	5623.231909
879	5622.891003
880	5621.707461
881	5617.386173
882	5617.00448
883	5613.467299
884	5613.266365
885	5610.973007
886	5610.611581
887	5610.138209
888	5609.710899
889	5604.805639
890	5603.855243
891	5603.676899
892	5603.352355
893	5598.136218
894	5597.856831
895	5594.760949
896	5592.567397
897	5591.754996
898	5588.782426
899	5585.710066
900	5585.519617
901	5583.104546
902	5580.164084
903	5577.794224
904	5576.550367
905	5576.163719
906	5575.911214
907	5573.144474
908	5572.749593
909	5572.391887
910	5572.128231
911	5569.848531
912	5569.481181
913	5566.759996
914	5565.047956
915	5563.938073
916	5563.551446
917	5561.562153
918	5555.622983
919	5555.261121
920	5553.257359
921	5549.460913
922	5549.16208
923	5544.796125
924	5544.333399
925	5542.861408
926	5538.604941
927	5538.277521
928	5536.100197
929	5531.542996
930	5531.208719
931	5530.977759
932	5530.736203
933	5530.326843
934	5528.298707
935	5522.639623
936	5522.180955
937	5520.217599
938	5520.025066
939	5516.98903
940	5516.698519
941	5514.138007
942	5510.051533
943	5507.178378
944	5501.334245
945	5500.986037
946	5497.387525
947	5495.752234
948	5495.533241
949	5495.174291
950	5494.780972
951	5489.640222
952	5486.377831
953	5484.332902
954	5483.890898
955	5480.011658
956	5474.660215
957	5469.65385
958	5469.417449
959	5465.45166
960	5465.177574
961	5963	5172.76962	5459.47442
963	5457.841108
964	5966	5168.43965	5967	5164.59966	5968	5163.07967	5969	5162.69968	5970	5162.33969	5971	5157.61970	5972	5154.47971	5973	5152.52972	5974	5147.91973	5975	5147.20974	5976	5146.86975	5977	5145.122799
978	5143.0977	54979	5142.5978	54980	5142.1979	54981	5140.3980	54982	5136.237822
983	5131.82397
984	5131.44152
985	5126.404246
986	5125.708211
987	5125.334756
988	5120.747076
989	5120.396277
990	5118.671777
991	5113.146499
992	5112.715926
993	5109.222697
994	5108.923226
995	5107.016373
996	5103.26031
997	5102.903419
998	5102.479778
999	5097.743183
379.236715
999	5378.945164
26795
